Sanity: VQ-VAE latent should be [B, 64, 4, 4] -> (64, 64, 4, 4)
Sanity: VQ-VAE token map should be [B, 4, 4] -> (64, 4, 4)
{'epoch': 17, 'step': 50, 'loss': 0.019611530005931854, 'perplexity': 189.01890563964844, 'dead_codes': 0, 'recon_mse': 0.00358442310243845, 'codebook_loss': 0.012821685522794724, 'commitment_loss': 0.012821685522794724, 'quantization_gap': 0.8205878138542175}
{'epoch': 18, 'step': 0, 'loss': 0.020976439118385315, 'perplexity': 192.72886657714844, 'dead_codes': 2, 'recon_mse': 0.0035000923089683056, 'codebook_loss': 0.013981077820062637, 'commitment_loss': 0.013981077820062637, 'quantization_gap': 0.894788920879364}
{'epoch': 18, 'step': 25, 'loss': 0.021602453663945198, 'perplexity': 190.18211364746094, 'dead_codes': 1, 'recon_mse': 0.0038455489557236433, 'codebook_loss': 0.014205524697899818, 'commitment_loss': 0.014205524697899818, 'quantization_gap': 0.9091535806655884}
{'epoch': 18, 'step': 50, 'loss': 0.01846742257475853, 'perplexity': 175.71347045898438, 'dead_codes': 0, 'recon_mse': 0.002975018694996834, 'codebook_loss': 0.012393923476338387, 'commitment_loss': 0.012393923476338387, 'quantization_gap': 0.7932111024856567}
{'epoch': 19, 'step': 0, 'loss': 0.021911028772592545, 'perplexity': 197.12127685546875, 'dead_codes': 3, 'recon_mse': 0.0040404475294053555, 'codebook_loss': 0.014296464622020721, 'commitment_loss': 0.014296464622020721, 'quantization_gap': 0.9149737358093262}
{'epoch': 19, 'step': 25, 'loss': 0.019212758168578148, 'perplexity': 182.8229217529297, 'dead_codes': 0, 'recon_mse': 0.0035094197373837233, 'codebook_loss': 0.012562671676278114, 'commitment_loss': 0.012562671676278114, 'quantization_gap': 0.8040109872817993}
{'epoch': 19, 'step': 50, 'loss': 0.019354036077857018, 'perplexity': 217.88978576660156, 'dead_codes': 0, 'recon_mse': 0.0034871045500040054, 'codebook_loss': 0.012693545781075954, 'commitment_loss': 0.012693545781075954, 'quantization_gap': 0.8123869299888611}
{'epoch': 20, 'step': 0, 'loss': 0.019003763794898987, 'perplexity': 187.13648986816406, 'dead_codes': 6, 'recon_mse': 0.0028949871193617582, 'codebook_loss': 0.012887020595371723, 'commitment_loss': 0.012887020595371723, 'quantization_gap': 0.8247693777084351}
{'epoch': 20, 'step': 25, 'loss': 0.02069462276995182, 'perplexity': 210.9946746826172, 'dead_codes': 1, 'recon_mse': 0.0033979141153395176, 'codebook_loss': 0.013837367296218872, 'commitment_loss': 0.013837367296218872, 'quantization_gap': 0.8855915069580078}
{'epoch': 20, 'step': 50, 'loss': 0.017934143543243408, 'perplexity': 220.2273712158203, 'dead_codes': 0, 'recon_mse': 0.0030953537207096815, 'codebook_loss': 0.011871032416820526, 'commitment_loss': 0.011871032416820526, 'quantization_gap': 0.7597460150718689}
